id,brand,customer_message,intent,expected_action,label_source,sampling_method,notes
G0000,SpotifyCares,fix your shit!!!!!,general_feedback,ESCALATE,assistant_single_annotator,stratified_random,"Vague complaint, no specific actionable detail"
G0001,SpotifyCares,What happens? is not working! 🤨,technical_issue,ESCALATE,assistant_single_annotator,stratified_random,"Vague but implies something broken, needs clarification"
G0002,Delta,". customer service is bad. Error message on-line so you call, wait an 1hr, calls disconnected. Call again, 2hrs later, no call back",general_feedback,ESCALATE,assistant_single_annotator,stratified_random,"Service-process complaint (long hold, disconnects)"
G0003,Uber_Support,it still doesnt work ://,technical_issue,ESCALATE,assistant_single_annotator,stratified_random,Context-free 'it still doesn't work'
G0004,AmazonHelp,Dm my number plz call back,other,ESCALATE,assistant_single_annotator,stratified_random,"Context-less fragment, no actionable content"
G0005,Delta,"The best perk of being a #diamondmedallion, global upgrades! #skymiles #delta #skyteam #bragtag #0.5millionmiles",general_feedback,AUTO_HANDLE,assistant_single_annotator,stratified_random,Positive/promotional tweet
G0006,Uber_Support,Hey ... One of your drivers in a new silver Mercedes followed my friend in Hollywood last night. Possible plate number: 7ZHJ231. Please follow up.,security_fraud,ESCALATE,assistant_single_annotator,stratified_random,Driver safety/stalking report with plate number
G0007,Uber_Support,I was charged 5 dollars when the app wasnt working.it would be nice if I could get a refund!,billing_refund,ESCALATE,assistant_single_annotator,stratified_random,"Charged when app wasn't working, wants refund"
G0008,AppleSupport,"hi, iPod nano bought last year, is it compatible with wireless headphones? Thanks",general_feedback,AUTO_HANDLE,assistant_single_annotator,stratified_random,Pre-sales compatibility question
G0009,SpotifyCares,I guess it was desync,other,ESCALATE,assistant_single_annotator,stratified_random,Context-free fragment
G0010,Delta,"My flight was suppose to leave at 7:30PM and it doesn’t leave until 11 am the next day, all I get is a water and and blanket. Thanks",general_feedback,ESCALATE,assistant_single_annotator,stratified_random,"Major delay complaint, no specific ask"
G0011,AmazonHelp,Already rang amazon about as much use as a chocolate tea cup offered longer on prime when they can’t keep there next day delivery promise,shipping_delivery,AUTO_HANDLE,assistant_single_annotator,stratified_random,Delivery delay complaint
G0012,Uber_Support,I am not satisfied with $2 refund for a horrible driver who made a 1.5 mile trip 2x as long and unsafe. I will be complaining to MCDOT and DDOT if I do not recieve a full refund.,billing_refund,ESCALATE,assistant_single_annotator,stratified_random,Disputes adequacy of a refund already given
G0013,AmazonHelp,"Had purchased Amazon echo dot my prime services had to be restarted from 6th November but that never happened. I have spoken with the customer service team twice, but they have not helped. Don't know how they function and I have no idea when will this be resolved!",billing_refund,ESCALATE,assistant_single_annotator,stratified_random,Subscription/restart billing issue
G0014,AppleSupport,"hi Apple support, I can hear “people” talking to me whilst I am using the music app on my iPhone 6s can you check it out plz x",technical_issue,AUTO_HANDLE,assistant_single_annotator,stratified_random,Audio glitch bug report
G0015,Uber_Support,i have a charge in my account 519.00 can you guys help me.,billing_refund,ESCALATE,assistant_single_annotator,stratified_random,Unrecognized large charge
G0016,Uber_Support,your Uber driver called me and said “ Nah I don’t wanna do no 10 minutes ride” hung up and I still got charged 5 dollars fam,billing_refund,ESCALATE,assistant_single_annotator,stratified_random,Charged despite driver refusing ride
G0017,AmazonHelp,just found out I paid for a Prime renewal that I didn't know about. And STILL can't get 2-day shipping! Not renewing this time.,billing_refund,ESCALATE,assistant_single_annotator,stratified_random,Unwanted renewal charge + service not delivered
G0018,Uber_Support,what is going on in Melbourne lately?! Food is always late if it gets picked up at all!,shipping_delivery,AUTO_HANDLE,assistant_single_annotator,stratified_random,Recurring late food delivery
G0019,AppleSupport,I just copied a paragraph and it pasted in Chinese. Appreciate the confidence in me but I never made it past Spanish 2. #ios11update,technical_issue,AUTO_HANDLE,assistant_single_annotator,stratified_random,Clipboard/paste bug
G0020,Uber_Support,I’m really sad I ordered McDonald’s from you guys they charged me but I never got my order. Fuming 😡,billing_refund,ESCALATE,assistant_single_annotator,stratified_random,"Charged, order never received"
G0021,Delta,Is upgrade to DeltaOne using global upgrade certificate currently available for #39 SEA-HKG on 11/10/17? Or just waitlist?,other,AUTO_HANDLE,assistant_single_annotator,stratified_random,Flight upgrade/waitlist policy question
G0022,Uber_Support,"NOP BECAUSE WHENEVER I SEND THEM EMAIL THEY ALWAYS REPLIED WITH DUMB AND STUPID AUTOMATED RESPONSE,THEY ARE AN ASSHOLES LAZY",general_feedback,ESCALATE,assistant_single_annotator,stratified_random,Complaint about automated support quality
