thread_id,brand,customer_message,agent_response,created_at,intent,label_type
T2614309,AppleSupport,He went into account recovery and doesn’t get the call or instructions to reset. This is many times he has tried. He will be returning his devices if not resolved today.,"As we're not able to speed up the Account Recovery process over Twitter, we'd still like to help by providing some tips that may help with regaining access quicker at the bottom of this link:",2017-11-18 17:03:29+00:00,other,weak_keyword_rule
T265579,SpotifyCares,"I can't listen to any Daft Punk song on either spotify web, android app or desktop, any solution?","Hey Armando, we're here to help! Does logging out > restarting the device > logging back in help? Keep us posted",2017-10-14 18:36:28+00:00,other,weak_keyword_rule
T2058032,AppleSupport,new update really drains my battery. Have to keep it plugged in. #notgood #nothappy,"We'd be happy to look this over with you. Please meet us in DM so we may gather information, and better assist.",2017-10-07 01:36:29+00:00,other,weak_keyword_rule
T1240679,Uber_Support,Very dodgy driver in central Manchester fraudulently doing kerbside pick ups like black cabs. Anyone at Uber interested in a report? Sped off when challenged.,We're here to help! Send us a DM with your email address and more details so we can follow up.,2017-11-30 19:26:59+00:00,security_fraud,weak_keyword_rule
T1522616,AmazonHelp,My Internet is showing as being connected on fire stick but every time I go to homepage I get an error? Help? 🤔,Hey James! try using these this reference: and let us know if the issue remains,2017-11-03 21:01:58+00:00,technical_issue,weak_keyword_rule
T1912136,AmazonHelp,"Yeah, 113-8812183-3537051 got delayed a day. Was supposed to be today. Not a huge deal but just hope it doesn’t become a pattern.","Hi Jeff, I'm sorry there has been a delay. Delays are rare but can happen from time to time. If there are any problems with your delivery on the updated delivery date please let us know.",2017-11-25 14:08:25+00:00,other,weak_keyword_rule
T814324,AmazonHelp,will it be refunded??,Kindly drop in your details using the link provided earlier. We'll get back to you accordingly.,2017-10-21 04:31:31+00:00,billing_refund,weak_keyword_rule
T1762930,AppleSupport,Appreciate y’all help! It worked,We're happy to hear that! Let us know if you need help in the future.,2017-11-07 23:24:51+00:00,other,weak_keyword_rule
T1979806,Uber_Support,"Getting multiple emails a day about adjusted fares, for trips I haven't done. What's going on?","Hi, Sean. Please DM us the email linked to your Uber account and the details of the emails you are receiving so we can follow up with you.",2017-10-31 21:13:40+00:00,other,weak_keyword_rule
T704930,Delta,"Hey - if your personnel can’t help me, could you ask them to direct me to where I should go instead of coldly dismissing me and saying it’s not their problem? Thanks. #HappyThanksgiving2017",Hi Greg! I am so sorry to hear that. How can I help you?,2017-11-23 18:39:08+00:00,other,weak_keyword_rule
T431524,AmazonHelp,Ok thanks.,You're welcome !,2017-10-10 15:40:32+00:00,other,weak_keyword_rule
T2023399,Delta,Thanks gate man for putting us next to each other :)))),Glad to hear it worked out for you. Thanks for flying with us today!,2017-10-18 21:05:10+00:00,other,weak_keyword_rule
T2907313,Uber_Support,!!! You’ve cancelled my order after over an hour and NOT given me my refund!!!!!!!!!!,"We apologize for the trouble! Send us a note here, and our team will be in touch.",2017-11-28 20:12:38+00:00,billing_refund,weak_keyword_rule
T2636842,AmazonHelp,I've never been so disappointed in,"I'm very sorry you've had a disappointing experience! Without posting personal or account info, can you please let us know what's going on?",2017-11-17 20:37:00+00:00,other,weak_keyword_rule
T721440,AmazonHelp,worst service from your customer care.,Seems like you had an unpleasant experience. Please let us know what went wrong.,2017-11-01 04:37:28+00:00,other,weak_keyword_rule
T79326,Uber_Support,"Hey I just had an abominable experience with Uber Eats in Australia - driver picked up order, never arrived, didn’t respond to calls/texts and cancelled 40 mins later! 👎","Sorry for the trouble! Send us a note here, and our team will be in touch.",2017-11-30 12:38:38+00:00,shipping_delivery,weak_keyword_rule
T656510,SpotifyCares,"Symptom: sharing to Facebook opens web viewer, after selecting to share song via Facebook app, successfully shares but spotify UI becomes unresponsive Device info: iPhone 7 Plus 11.1.2 Spotify (latest) Resolution: closing spotify from task switcher and reopening","Hey Kevin, help has arrived! Does logging out > restarting the device > logging back in help? Keep us posted",2017-11-22 22:45:13+00:00,other,weak_keyword_rule
T1149919,Delta,"Seems to work now, I see it listed again under my trips - odd as I was literally copy-pasting the confirmation and tried half a dozen times",That has happened to me before too! Computers seem to do what they want. I'm glad you were able to get it working!,2017-10-24 15:03:45+00:00,other,weak_keyword_rule
T1854544,SpotifyCares,my Spotify keeps crashing a lot lately to the point were I can't listen to a song for more than 10 seconds🙃,"Hey Emily! Help has arrived. Can you fire over the device's make/model, operating system, and the Spotify version you're using?",2017-10-19 06:48:24+00:00,technical_issue,weak_keyword_rule
T1335171,AppleSupport,Nothing been like it since I got up. iCloud just isn’t registering at all@,Go ahead and DM us your country and we'll continue working with you there.,2017-10-27 18:27:34+00:00,other,weak_keyword_rule
T2631906,Delta,"Also, is everything. You can now message people for free on your flights.",Hello! Yes. you can message for free. Enjoy all your flights with us.,2017-11-17 18:19:28+00:00,other,weak_keyword_rule
T2202388,SpotifyCares,what’s taking so long to put jbj into your app,"We’d love to have all of the world's music, but there's info about content here:",2017-10-19 14:22:29+00:00,other,weak_keyword_rule
T301647,SpotifyCares,Could we get a 'Discover History' playlist that has all our old Discover playlists in? Its sad when I miss a week :(,Nice idea! It's definitely something for the team to consider and we'll make sure it reaches them,2017-10-06 18:14:42+00:00,other,weak_keyword_rule
T2028576,AppleSupport,What is wrong with the podcast app with latest update on the iPhone 6?,We want to help. Check this guide to using the Podcasts on your iPhone: Questions? DM us.,2017-11-06 21:33:32+00:00,other,weak_keyword_rule
T2618118,AmazonHelp,"Bonjour, non je n'ai reçu que le mail 2 jours avant avec la date prévue à hier (cf pj) mais rien de plus, et dans le suivi du colis c'est écrit en transit estimé à aujourd’hui.... ;(",D'accord. L'avez-vous signalé à notre SAV ?,2017-11-17 15:06:32+00:00,other,weak_keyword_rule
